x ,y, z, class, r, g, b
2.571879e+01, 1.132017e+01, 1.054274e+01, 6.000000e+00, 1.280000e+02, 1.280000e+02, 1.280000e+02
1.986567e+01, -8.333491e+00, 4.001259e+01, 0.000000e+00, 2.550000e+02, 0.000000e+00, 0.000000e+00
-3.393462e+00, -1.936544e+01, 9.331084e-01, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
1.179069e+01, 2.347770e+01, 3.623912e+00, 7.000000e+00, 1.280000e+02, 0.000000e+00, 0.000000e+00
-4.322643e+00, -2.078440e+01, 2.402054e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
-5.063653e+00, -2.071123e+01, 2.480260e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
6.125747e+00, 1.640803e+01, 6.207506e+00, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
1.663882e+01, 2.520559e+01, 2.229796e+00, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
-4.906259e+00, -2.150883e+01, 2.560802e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
-6.972363e+00, -2.077183e+01, 4.721781e-01, 2.000000e+00, 0.000000e+00, 0.000000e+00, 2.550000e+02
-9.217999e+00, -2.217071e+01, 2.922702e-01, 1.000000e+00, 0.000000e+00, 2.550000e+02, 0.000000e+00
1.724927e+01, 2.237872e+01, 4.465774e+00, 7.000000e+00, 1.280000e+02, 0.000000e+00, 0.000000e+00
1.044666e+01, -2.721827e+01, 2.756277e+01, 6.000000e+00, 1.280000e+02, 1.280000e+02, 1.280000e+02
-5.301152e+00, -2.172270e+01, 3.642150e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
8.426426e+00, 1.954525e+01, 3.862226e+00, 7.000000e+00, 1.280000e+02, 0.000000e+00, 0.000000e+00
-1.775068e+00, -1.939854e+01, 1.883868e+00, 1.300000e+01, 2.550000e+02, 2.550000e+02, 2.550000e+02
1.390977e+01, 2.386647e+01, 5.762949e+00, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
-1.457296e+00, -8.123440e+00, -2.562416e+00, 2.000000e+00, 0.000000e+00, 0.000000e+00, 2.550000e+02
1.401641e+01, 2.414409e+01, 3.624233e+00, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
-7.098798e+00, -1.965035e+01, 2.212975e+00, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
-3.394641e+00, -2.084758e+01, 4.653882e+00, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
-3.863064e+00, -2.025332e+01, -1.919230e-01, 1.300000e+01, 2.550000e+02, 2.550000e+02, 2.550000e+02
-4.059915e+00, -1.876975e+01, 5.423637e-02, 1.300000e+01, 2.550000e+02, 2.550000e+02, 2.550000e+02
-6.139943e+00, -2.268986e+01, 4.445233e-01, 1.500000e+01, 2.550000e+02, 2.550000e+02, 2.550000e+02
-6.382684e+00, -1.870135e+01, 6.948628e-01, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
2.020153e+01, 1.392815e+01, 8.613724e+00, 1.400000e+01, 2.550000e+02, 2.550000e+02, 2.550000e+02
-6.893673e+00, -2.155449e+01, -6.966792e-01, 3.000000e+00, 2.550000e+02, 2.550000e+02, 0.000000e+00
1.386532e+01, 2.259814e+01, 4.392299e+00, 1.400000e+01, 2.550000e+02, 2.550000e+02, 2.550000e+02
1.413274e+01, 2.185476e+01, 3.444902e+00, 4.000000e+00, 2.550000e+02, 0.000000e+00, 2.550000e+02
-9.462153e+00, -2.106057e+01, -1.578119e+00, 1.000000e+01, 1.280000e+02, 1.280000e+02, 0.000000e+00
-5.396100e+00, -2.042420e+01, 1.457979e-01, 2.000000e+00, 0.000000e+00, 0.000000e+00, 2.550000e+02
-6.066824e+00, -1.990482e+01, -8.090180e-01, 1.100000e+01, 1.280000e+02, 0.000000e+00, 1.280000e+02
